emp_no,first_name,last_name,title,hire_date,years
31565,Duro,Nourani,Staff,1997-06-02,25
31571,Jagoda,Reutenauer,Technique Leader,1985-07-25,37
31574,Huai,Lalonde,Engineer,1993-01-17,29
31577,Xiahua,Munro,Senior Staff,1995-05-05,27
31587,Heather,Henseler,Senior Engineer,1986-12-24,36
31593,Kamakshi,Merey,Senior Engineer,1986-05-01,36
31594,Abdelkader,Birta,Senior Staff,1987-09-13,35
31596,Susuma,Larfeldt,Engineer,1993-09-16,29
31600,Arif,Zeidenstein,Senior Staff,1990-02-24,32
31604,Mikhail,Niizuma,Senior Engineer,1989-04-16,33
31624,Seongbin,Picht,Senior Staff,1989-02-05,33
31630,Fabrizio,Businaro,Senior Engineer,1985-07-27,37
31631,Tuval,Kavvadias,Senior Staff,1987-06-06,35
31632,Eldridge,Shihab,Senior Engineer,1995-08-09,27
31634,Mohua,Rubsam,Senior Engineer,1988-04-04,34
31641,Aram,Syrzycki,Senior Engineer,1986-07-07,36
31644,Khalid,Beidas,Engineer,1989-03-31,33
31649,Souichi,Candan,Senior Engineer,1989-06-20,33
31650,Neven,Savasere,Senior Staff,1986-06-05,36
31651,Oscal,Zeilberger,Senior Staff,1994-09-02,28
31657,Adhemar,Range,Senior Engineer,1991-07-12,31
31658,Byong,Aloia,Senior Engineer,1988-05-01,34
31667,Hairong,Spataro,Senior Engineer,1985-07-23,37
31671,Mingdong,Trystram,Senior Staff,1987-06-03,35
31674,Jixiang,Bernini,Senior Staff,1988-10-19,34
31675,Yongmin,Zlotek,Engineer,1991-02-12,31
31679,Basant,Koshiba,Senior Staff,1991-08-16,31
31681,Paris,Luiz,Engineer,1995-10-14,27
31684,Jungsoon,Deyuan,Technique Leader,1993-10-14,29
31686,Djelloul,Cummings,Engineer,1991-01-03,31
31697,Malu,Msuda,Senior Engineer,1986-04-08,36
31700,Weiyi,Ranft,Senior Staff,1986-12-12,36
31702,Florian,Isard,Senior Staff,1986-05-06,36
31704,Alagu,Randt,Senior Engineer,1987-09-01,35
31706,Howell,Redmiles,Senior Staff,1990-10-19,32
31707,Anoosh,Akazan,Senior Engineer,1990-05-29,32
31709,Jinpo,Boissier,Senior Engineer,1985-08-17,37
31712,Jiang,Dulay,Senior Staff,1990-12-13,32
31716,Radoslaw,Chaudhury,Senior Staff,1991-08-03,31
31719,JoAnne,Caine,Senior Staff,1986-10-15,36
31721,Erez,Gimbel,Engineer,1998-11-21,24
31725,Kazunori,Trystram,Engineer,1994-09-16,28
31727,Guadalupe,Hegner,Engineer,1996-08-26,26
31731,Mikhail,Suri,Technique Leader,1993-11-30,29
31733,Jaideep,Coombs,Senior Engineer,1989-05-15,33
31738,Edwin,Unno,Senior Engineer,1988-01-22,34
31740,Goo,Domenig,Staff,1987-03-11,35
31741,Valeri,Kenevan,Senior Staff,1987-03-24,35
31742,Pramod,Vendrig,Senior Staff,1989-10-06,33
31743,Lihong,Sinitsyn,Staff,1996-05-21,26
31745,Sergi,Rodham,Senior Engineer,1986-11-02,36
31747,Lalit,Garnier,Senior Engineer,1991-11-10,31
31750,Fabrizio,DuBourdieux,Staff,1988-07-14,34
31751,Phillip,Ramsey,Senior Staff,1990-02-03,32
31753,Lillian,Binkley,Senior Engineer,1992-05-29,30
31755,Radhakrishnan,Murtha,Engineer,1992-02-09,30
31757,Alair,Kobara,Technique Leader,1989-09-10,33
31760,Mircea,Rosiles,Engineer,1990-11-08,32
31763,Tetsurou,Fadgyas,Senior Engineer,1986-06-21,36
31765,Ipke,Tasistro,Senior Engineer,1985-10-01,37
31766,Rance,Masand,Senior Staff,1989-10-29,33
31767,Panayotis,Peek,Engineer,1995-07-11,27
31770,Weiyi,Couchot,Senior Staff,1986-02-16,36
31774,Aron,Erie,Staff,1994-07-04,28
31777,Pragnesh,Kumaresan,Senior Engineer,1988-12-13,34
31783,Ugo,Thambidurai,Senior Engineer,1985-05-31,37
31791,Saddek,Debuse,Senior Staff,1988-10-28,34
31796,Leen,Vakili,Senior Engineer,1985-10-09,37
31801,Sadok,Heuser,Engineer,1991-06-07,31
31802,Murthy,Huhdanpaa,Senior Engineer,1986-12-07,36
31804,Aris,Masand,Senior Staff,1991-05-22,31
31810,Jasminko,Gill,Senior Engineer,1988-02-07,34
31811,Zine,Raney,Staff,1986-05-10,36
31814,Weijing,Brookner,Senior Engineer,1993-01-08,29
31821,Xiaobin,Farrel,Technique Leader,1992-09-13,30
31823,Sivanarayana,Bernini,Engineer,1993-06-20,29
31824,Remko,Pezzoli,Senior Staff,1987-01-16,35
31849,Chaitali,Sabnani,Engineer,1985-10-26,37
31852,Byong,Spieker,Senior Staff,1989-05-09,33
31858,Geoffrey,Benantar,Senior Staff,1985-05-10,37
31861,Hidefumi,Lamma,Technique Leader,1990-05-07,32
31864,Zhenbing,Bahl,Senior Engineer,1985-07-30,37
31865,Ramzi,Schade,Engineer,1986-07-14,36
31868,Dhritiman,Jervis,Senior Engineer,1987-08-07,35
31872,Sanjay,Georgakopoulos,Senior Staff,1985-03-26,37
31877,Masoud,Ossenbruggen,Engineer,1988-01-26,34
31889,Elgin,Kalafatis,Senior Staff,1990-12-25,32
31890,Dekang,Shiratori,Senior Staff,1985-09-22,37
31896,Kotesh,Gubsky,Senior Staff,1991-01-08,31
31898,Laurentiu,Bierman,Senior Staff,1993-02-26,29
31910,Koldo,Vingron,Staff,1988-09-08,34
31913,Bangqing,Luca,Senior Engineer,1989-10-07,33
31914,Nevio,Theuretzbacher,Senior Engineer,1990-02-05,32
31915,Kazuhide,Speckmann,Senior Engineer,1988-10-03,34
31928,Uli,Gecseg,Senior Staff,1989-07-20,33
31929,Chanjung,Penn,Technique Leader,1988-02-23,34
31931,Alenka,Leppanen,Senior Staff,1985-09-02,37
31932,Sajjan,Bernardinello,Senior Engineer,1988-12-12,34
31933,Arun,Huhdanpaa,Senior Engineer,1985-06-13,37
31937,Rance,Birjandi,Senior Staff,1995-09-26,27
31941,Gian,Silva,Engineer,1995-03-18,27
31942,Syozo,Schnabel,Senior Engineer,1993-02-22,29
31946,Toong,Iwayama,Senior Staff,1989-08-06,33
31952,Giap,Christianini,Senior Staff,1988-10-16,34
31955,Fen,Nourani,Senior Engineer,1989-08-22,33
31956,Ziyad,Gecsei,Senior Staff,1986-03-09,36
31959,Vojin,Niizuma,Senior Engineer,1990-05-19,32
31966,Perry,Tetzlaff,Senior Staff,1989-12-22,33
31970,Taegyun,Zaumen,Senior Engineer,1985-12-25,37
31975,Keung,Trogemann,Staff,1994-03-07,28
31982,Boutros,Undy,Engineer,1992-09-12,30
31983,Salvador,Knightly,Senior Engineer,1997-06-27,25
31999,Stabislas,Siksek,Senior Staff,1986-01-04,36
32001,Mari,Attimonelli,Senior Staff,1987-04-19,35
32018,Bernardo,Waeselynck,Senior Engineer,1991-01-05,31
32026,Lansing,Skrikant,Senior Staff,1988-12-08,34
32027,Mong,Sidhu,Senior Staff,1985-07-19,37
32030,Shooichi,Minakawa,Engineer,1990-08-18,32
32032,Harjit,Kermarrec,Senior Staff,1987-07-02,35
32037,Bader,Ozeri,Engineer,1986-10-25,36
32043,Muzhong,Cooman,Staff,1996-05-23,26
32047,Arfst,Lorys,Senior Engineer,1993-01-24,29
32048,Stamatina,Unno,Senior Engineer,1991-02-24,31
32049,Khalid,Rattan,Staff,1992-12-09,30
32051,Gretta,Merro,Senior Staff,1991-07-24,31
32053,Arunachalam,Tiemann,Senior Engineer,1985-10-13,37
32054,Kersti,Bahk,Senior Engineer,1988-07-09,34
32056,Parviz,Lieblein,Senior Staff,1987-01-21,35
32062,Janalee,Onuegbe,Staff,1996-02-29,26
32064,Mandell,Gammage,Senior Staff,1986-07-04,36
32071,Ewing,Yavatkar,Engineer,1996-06-06,26
32078,Subir,Cappello,Staff,1997-06-15,25
32089,Jianhua,Bardell,Senior Engineer,1987-11-23,35
32105,Serenella,Boudaillier,Engineer,1992-03-10,30
32117,Panayotis,Swiss,Senior Staff,1990-03-08,32
32118,Serenella,Litvinov,Senior Engineer,1985-05-24,37
32130,Bilhanan,Hiyoshi,Engineer,1997-08-04,25
32133,Zine,Huxford,Engineer,1992-06-04,30
32137,Shim,Dengi,Engineer,1993-08-05,29
32138,Anyuan,Facello,Senior Staff,1988-10-04,34
32142,Divier,Pappas,Staff,1995-02-17,27
32143,Takushi,Spieker,Technique Leader,1993-09-02,29
32144,Akeel,Nittel,Engineer,1995-11-26,27
32147,Shahaf,Basart,Senior Engineer,1985-07-12,37
32150,Chenxi,Narwekar,Senior Staff,1986-03-11,36
32151,Martine,Pileggi,Senior Staff,1986-07-10,36
32158,Fun,Ranta,Senior Engineer,1988-04-23,34
32159,Gennady,Marshall,Engineer,1995-04-17,27
32164,Isamu,Penttonen,Staff,1991-03-19,31
32167,Christophe,Sury,Senior Staff,1985-07-21,37
32168,Yaghout,Swick,Technique Leader,1986-11-17,36
32169,Sampalli,Niizuma,Senior Staff,1990-06-21,32
32171,Zhaofang,Setia,Senior Engineer,1986-02-24,36
32172,Duangkaew,Milicia,Staff,1995-11-29,27
32174,Mohua,Kaltofen,Engineer,1986-02-11,36
32176,Arie,Lorys,Assistant Engineer,1989-06-15,33
32180,Abdelaziz,Hofman,Senior Staff,1985-04-24,37
32186,Serap,Pesch,Senior Engineer,1991-10-30,31
32193,Margareta,Szmurlo,Senior Staff,1988-08-10,34
32195,Ziva,Zaumen,Senior Staff,1992-04-03,30
32196,Xiaopeng,Sluis,Assistant Engineer,1994-09-23,28
32197,Claude,Highland,Senior Staff,1988-10-21,34
32199,Eishiro,Perna,Engineer,1990-10-13,32
32200,Nalini,Sadowsky,Engineer,1988-09-07,34
32203,Stamatina,Gulak,Senior Staff,1986-11-19,36
32204,Garnet,Leppanen,Senior Staff,1985-10-14,37
32213,Tzvetan,Bashian,Senior Staff,1987-04-14,35
32221,Pranas,Snedden,Senior Staff,1985-12-19,37
32222,Hyuncheol,Clemencon,Staff,1994-02-21,28
32233,Kenroku,Benveniste,Senior Engineer,1988-01-26,34
32237,Yucai,Range,Staff,1985-09-04,37
32239,Xumin,Cummings,Senior Staff,1988-06-03,34
32244,Mitsuyuki,Mitsuhashi,Senior Engineer,1988-11-15,34
32246,Georg,Onuegbe,Senior Staff,1988-09-08,34
32251,Inderjeet,Tsukuda,Staff,1986-10-18,36
32252,Marke,Bratten,Senior Engineer,1985-06-20,37
32253,Felicidad,Serov,Engineer,1992-09-21,30
32254,Kien,Merel,Technique Leader,1992-07-02,30
32260,Sachem,Baranowski,Senior Staff,1991-10-09,31
32261,Bernt,Dehkordi,Senior Engineer,1986-10-07,36
32262,Holgard,Kaltofen,Assistant Engineer,1990-02-08,32
32269,Kannan,Cangellaris,Senior Staff,1986-07-03,36
32270,Kiyokazu,Naudin,Engineer,1996-08-15,26
32272,Yuqun,Parascandalo,Senior Engineer,1990-02-09,32
32275,Jaideep,Hedayat,Engineer,1997-11-21,25
32277,Tesuro,Papastamatiou,Senior Engineer,1992-10-20,30
32279,Mokhtar,Falco,Technique Leader,1996-03-23,26
32296,Baruch,Peris,Senior Engineer,1987-10-26,35
32297,Chandrasekaran,Loncour,Senior Engineer,1986-06-26,36
32303,Bodh,Merli,Senior Staff,1987-06-22,35
32307,Hercules,Setiz,Senior Engineer,1995-03-08,27
32310,Rosella,Krone,Senior Engineer,1993-03-29,29
32325,Magdalena,Taubenfeld,Technique Leader,1993-11-26,29
32333,Yoshimitsu,Mitsuhashi,Senior Engineer,1993-01-19,29
32339,Rasikan,Strooper,Staff,1996-09-01,26
32340,Maria,Tiemann,Senior Engineer,1988-07-06,34
32341,Vincent,Stiles,Senior Engineer,1990-10-25,32
32343,Aloys,Pews,Senior Engineer,1991-11-17,31
32349,Hairong,DiGiano,Senior Staff,1988-09-01,34
32368,Ebru,Ravishankar,Staff,1986-03-25,36
32372,Randy,Nitsch,Senior Staff,1986-10-26,36
32377,Teunis,Wolniewicz,Senior Engineer,1989-11-19,33
32386,Horward,Ratnakar,Senior Staff,1993-04-19,29
32394,Constantino,Merlo,Senior Staff,1991-09-19,31
32398,Jessie,Dahlbom,Senior Engineer,1991-02-01,31
32400,Jagoda,Prochazka,Technique Leader,1992-08-23,30
32405,Vitaly,Haumacher,Senior Engineer,1987-08-21,35
32406,Filipe,Ranze,Senior Engineer,1991-01-30,31
32407,Gita,Nollmann,Senior Engineer,1993-03-02,29
32413,Constantine,Baik,Engineer,1990-08-08,32
32420,Parto,Sinitsyn,Staff,1997-03-01,25
32426,Lijie,Oskamp,Senior Staff,1991-08-23,31
32427,Jovan,Rajala,Engineer,1996-02-29,26
32430,Yongdong,Hellwagner,Senior Engineer,1987-10-30,35
32433,Remzi,Hoppenstand,Senior Staff,1988-12-13,34
32438,Masali,Terwilliger,Senior Engineer,1996-01-18,26
32442,Leucio,Remmele,Senior Engineer,1987-05-27,35
32443,Bernd,Beznosov,Staff,1994-11-24,28
32444,Ioana,Ventosa,Senior Staff,1988-08-23,34
32445,Kristian,Angelopoulos,Senior Engineer,1987-05-17,35
32446,Chirstian,Magalhaes,Senior Engineer,1987-02-03,35
32449,Gal,Sabnani,Senior Engineer,1988-07-02,34
32455,Lokesh,Brlek,Senior Engineer,1986-11-28,36
32456,DeForest,Alameldin,Senior Staff,1993-03-23,29
32458,Conal,Uehara,Senior Staff,1985-12-15,37
32465,Yucel,Dymetman,Senior Engineer,1987-05-07,35
32467,Berna,Dulay,Senior Engineer,1988-09-16,34
32468,Rafols,Masamoto,Senior Staff,1988-10-25,34
32474,Sariel,Eterovic,Assistant Engineer,1995-08-06,27
32475,Kitty,Onuegbe,Senior Engineer,1990-03-12,32
32479,Kerhong,Olano,Staff,1995-03-08,27
32481,Dipankar,Nanard,Senior Staff,1986-10-27,36
32483,Gay,Tsukune,Senior Staff,1987-08-22,35
32487,Neven,Hambrick,Senior Staff,1986-08-25,36
32488,Jeanne,Merks,Senior Engineer,1988-03-27,34
32496,Tiina,Wursthorn,Senior Staff,1994-04-07,28
32499,Jouko,Hellwagner,Senior Engineer,1986-01-15,36
32505,Sailaja,Gustavson,Senior Staff,1986-07-16,36
32508,Lijie,Roccetti,Senior Engineer,1992-09-03,30
32512,Barun,Shiratori,Staff,1992-09-11,30
32513,Sadok,Swan,Senior Staff,1990-01-25,32
32517,KayLiang,Himler,Senior Staff,1991-02-22,31
32527,Subhada,Terwilliger,Staff,1994-06-29,28
32529,Mohammed,Barbanera,Senior Staff,1994-03-11,28
32531,Heng,Zirintsis,Senior Engineer,1985-11-18,37
32540,Chrisa,Jervis,Senior Engineer,1985-08-29,37
32542,Yishay,Manders,Senior Staff,1989-05-12,33
32546,Gil,Velasco,Technique Leader,1994-09-01,28
32557,Henk,Vendrig,Technique Leader,1995-05-21,27
32559,Ingemar,Thombley,Senior Engineer,1988-08-08,34
32563,Gritta,Larfeldt,Senior Engineer,1987-08-07,35
32564,Hatem,Miake,Senior Staff,1985-11-14,37
32566,Takahito,Przulj,Engineer,1994-12-08,28
32572,Alain,Oskamp,Senior Engineer,1989-09-19,33
32574,Steen,Bahi,Senior Staff,1995-09-14,27
32578,Billie,Chleq,Senior Staff,1985-05-05,37
32580,Kirk,Facello,Senior Engineer,1988-05-31,34
32581,Mamdouh,Reeker,Technique Leader,1990-05-25,32
32584,Eishiro,Masamoto,Senior Staff,1991-04-26,31
32587,Sugwoo,Ballarin,Senior Engineer,1988-07-25,34
32590,Gil,Deyuan,Senior Engineer,1991-03-02,31
32595,Magy,Ghemri,Engineer,1991-03-17,31
32596,Naftaly,Gelosh,Senior Engineer,1988-12-10,34
32597,Djelloul,Muntz,Senior Staff,1989-11-04,33
32599,George,Mundy,Assistant Engineer,1991-01-29,31
32600,Uta,Diderrich,Staff,1991-01-08,31
32614,Chinho,Basagni,Staff,1994-07-16,28
32615,Geoffrey,Sadowski,Senior Staff,1986-01-17,36
32617,Kazuhito,Rissanen,Senior Engineer,1996-04-30,26
32619,Xiong,Clouatre,Senior Staff,1994-11-05,28
32623,Mart,Zolotykh,Engineer,1989-12-11,33
32626,Ulf,Ambroszkiewicz,Senior Engineer,1985-06-18,37
32629,Make,Benzmuller,Senior Staff,1990-11-03,32
32637,Abdulla,Kalorkoti,Senior Engineer,1993-11-18,29
32641,Tua,Tetzlaff,Engineer,1988-12-01,34
32642,Danel,Garigliano,Engineer,1985-09-02,37
32646,Yongqiao,Cools,Senior Staff,1993-06-21,29
32653,Renny,Wielonsky,Senior Staff,1988-04-02,34
32656,Boriana,Lemarechal,Senior Staff,1986-03-23,36
32662,Magdalena,Hiraishi,Engineer,1994-09-17,28
32665,Alselm,Kuzuoka,Engineer,1990-08-29,32
32668,Niclas,Riexinger,Senior Staff,1993-03-21,29
32676,Joydip,Bail,Engineer,1997-06-29,25
32677,Yurii,Heering,Engineer,1991-11-13,31
32686,Ioana,Gien,Senior Staff,1987-05-18,35
32687,Rayond,Hagimont,Staff,1992-11-21,30
32689,Gladys,Heusch,Senior Staff,1988-08-08,34
32691,Ghassan,Simmen,Staff,1999-03-07,23
32692,Sadun,Cannard,Engineer,1997-10-10,25
32694,Pramod,Hiroyama,Senior Engineer,1989-02-08,33
32703,DeForest,Klyachko,Senior Staff,1987-10-21,35
32704,Jacqueline,Rajaraman,Engineer,1992-04-28,30
32717,Dmitry,Kugler,Engineer,1990-10-30,32
32720,Adam,Baalen,Engineer,1997-07-30,25
32724,Alselm,Janocha,Senior Staff,1986-05-24,36
32728,Kenton,Greibach,Senior Engineer,1989-06-19,33
32730,Charlene,Montresor,Senior Engineer,1985-04-04,37
32731,Honesty,Morrey,Senior Engineer,1987-10-19,35
32733,Prasadram,Murtha,Assistant Engineer,1992-12-30,30
32734,Kazuhira,Lagarias,Senior Staff,1985-08-07,37
32737,Haldon,Vuskovic,Senior Staff,1986-08-27,36
32740,Ishfaq,DuBourdieux,Senior Engineer,1988-12-13,34
32745,Lucian,Menhoudj,Staff,1995-12-25,27
32750,Udi,Gien,Senior Staff,1996-05-20,26
32753,Kristen,Debuse,Senior Staff,1989-03-07,33
32756,Gou,Desikan,Senior Staff,1992-04-27,30
32765,Yurij,Mitchem,Senior Engineer,1987-04-10,35
32766,Masamitsu,Jayawardene,Senior Engineer,1991-12-10,31
32767,Ayakannu,Lovengreen,Senior Engineer,1990-08-13,32
32768,Yannis,Makinen,Senior Engineer,1990-12-23,32
32769,Shai,Rosay,Engineer,1992-10-17,30
32772,Xinglin,Peris,Senior Engineer,1993-04-25,29
32775,Ung,Litzler,Engineer,1990-10-13,32
32776,Charlene,Bodoff,Senior Staff,1987-06-02,35
32779,Tze,Rahimi,Staff,1995-11-28,27
32790,Hilari,Heuter,Senior Staff,1991-06-15,31
32791,Giri,Laurillard,Senior Engineer,1989-01-29,33
32794,Charmane,Kornatzky,Senior Engineer,1993-03-18,29
32796,Duke,Picaronny,Senior Engineer,1988-01-15,34
32797,Martial,Ginesta,Senior Engineer,1985-05-17,37
32809,Patricio,Muntz,Engineer,1992-12-09,30
32812,Manibrata,Serot,Engineer,1998-05-20,24
32818,Chaosheng,Orsini,Senior Staff,1990-05-30,32
32820,Rasikan,Barriga,Senior Staff,1989-04-16,33
32822,Pramod,Muhling,Senior Staff,1995-05-06,27
32830,Oscar,Luke,Technique Leader,1986-09-04,36
32835,Wanqing,Thambidurai,Senior Engineer,1988-12-09,34
32842,Jolita,Bierman,Staff,1993-09-17,29
32849,Adib,Kornyak,Senior Engineer,1985-08-23,37
32858,Tesuro,Fioravanti,Senior Staff,1988-08-17,34
32864,Anyuan,Stifter,Senior Staff,1988-10-07,34
32871,DeForest,Rullman,Senior Staff,1985-05-02,37
32872,Poornachandra,Gien,Staff,1995-09-20,27
32876,Vishwani,Zyda,Engineer,1989-10-08,33
32886,Yucai,Danecki,Senior Staff,1995-11-13,27
32891,Vasilis,Ozeki,Senior Engineer,1986-06-13,36
32892,Sudharsan,Pfau,Technique Leader,1986-04-26,36
32901,Theirry,Hinsberger,Senior Engineer,1986-12-05,36
32903,Maja,Terlouw,Engineer,1986-02-06,36
32909,Sibyl,Krupka,Senior Engineer,1989-05-01,33
32917,Lein,Maccarone,Technique Leader,1989-08-30,33
32919,Lenore,Schaad,Senior Staff,1987-11-23,35
32923,Ult,Leaver,Staff,1996-06-11,26
32925,Xiaoqiu,Zwicker,Senior Staff,1987-11-23,35
32928,Shigeu,Kalloufi,Staff,1986-05-05,36
32931,Almudena,DasSarma,Senior Staff,1986-01-12,36
32933,Jouko,Tyugu,Assistant Engineer,1991-10-30,31
32938,Qunsheng,Perna,Senior Engineer,1988-09-28,34
32951,Tianruo,Hockney,Senior Engineer,1987-08-05,35
32952,Guiseppe,Foong,Assistant Engineer,1991-11-25,31
32955,Basim,Dredge,Senior Engineer,1987-12-25,35
32959,Ebru,Broomell,Senior Staff,1986-07-31,36
32964,Sariel,Kamber,Senior Staff,1990-06-12,32
32965,Margareta,Stifter,Senior Engineer,1992-11-22,30
32967,Morris,Zykh,Staff,1991-04-24,31
32972,Ebbe,Matzov,Senior Staff,1987-07-03,35
32977,Berhard,Flasterstein,Senior Staff,1991-10-04,31
32979,Xumin,Swift,Senior Staff,1985-09-25,37
32985,Emran,Reinhart,Senior Staff,1991-06-28,31
32990,Valery,Linnainmaa,Senior Staff,1989-07-18,33
32992,Tayeb,Yamaashi,Senior Engineer,1986-10-10,36
32993,Yuchang,Ranta,Senior Staff,1989-07-11,33
32994,Deniz,Bale,Senior Engineer,1991-08-27,31
33000,Kazunori,Gustavson,Senior Staff,1987-04-13,35
33001,Nalini,Matzov,Senior Staff,1992-02-23,30
33006,Saniya,Einsfeld,Staff,1985-05-21,37
33008,Keiichiro,Birnbaum,Senior Staff,1988-05-03,34
33009,Tsutomu,Chinin,Senior Staff,1986-09-30,36
33010,Zhonghua,Parveen,Senior Engineer,1988-03-02,34
33011,Jacqueline,Manders,Senior Staff,1996-05-08,26
33018,Christophe,Baer,Senior Engineer,1985-03-20,37
33020,Olivera,Nicolson,Engineer,1992-08-30,30
33024,Gregory,Brickell,Engineer,1994-04-30,28
33028,Salvador,Tzvieli,Senior Engineer,1988-07-19,34
33041,Doowon,Birdsall,Technique Leader,1996-11-15,26
33046,Sumant,Cunliffe,Staff,1995-06-29,27
33056,Anneli,Litzkow,Senior Engineer,1989-05-08,33
33076,Geoff,Ranon,Senior Engineer,1988-02-21,34
33078,Lena,Compeau,Senior Staff,1989-03-02,33
33079,Tomoyuki,Lampe,Staff,1988-02-12,34
33085,Kristinn,Jullig,Senior Engineer,1988-11-03,34
33086,Berry,Onuegbe,Engineer,1991-07-09,31
33087,Manu,Hertweck,Engineer,1995-08-05,27
33089,LiMin,Potthoff,Staff,1995-12-30,27
33097,Kish,Fiebach,Senior Engineer,1988-06-27,34
33098,Jaewoo,Matzke,Senior Staff,1992-05-22,30
33101,Chinhyun,Leuchs,Senior Engineer,1993-01-06,29
33105,Stafford,Bergere,Engineer,1998-03-22,24
33106,Wonhee,Chaudhuri,Staff,1985-04-05,37
33109,Xumin,Papadias,Senior Engineer,1989-06-29,33
33110,Tua,Roccetti,Senior Engineer,1989-03-11,33
33115,Padma,Peyn,Senior Engineer,1988-11-28,34
33120,Harjit,Perko,Staff,1994-10-13,28
33122,Angel,Kalorkoti,Staff,1989-08-22,33
33125,Jaewon,Dulay,Senior Staff,1988-02-05,34
33126,Charmane,Marwedel,Senior Engineer,1985-09-07,37
33131,Reinhold,Savasere,Engineer,1998-01-30,24
33137,Shietung,Ranon,Senior Staff,1985-05-07,37
33139,Duangkaew,Leppanen,Staff,1985-05-18,37
33151,Koldo,Vecchio,Engineer,1987-08-03,35
33161,Yuriy,Pelz,Staff,1996-03-10,26
33164,Marie,Levergood,Senior Engineer,1985-06-27,37
33170,Huiqun,Kroon,Senior Staff,1985-02-23,37
33176,Mohammed,Narwekar,Senior Staff,1994-07-17,28
33183,Haldun,Veldwijk,Senior Engineer,1987-03-15,35
33184,Kazuhiro,Kaelbling,Staff,1988-02-28,34
33185,Uri,Landherr,Senior Staff,1992-02-28,30
33186,Domenick,Hanratty,Senior Engineer,1988-07-08,34
33190,Kiyomitsu,Hardjono,Senior Engineer,1995-05-21,27
33191,Almudena,Hopewell,Senior Engineer,1987-08-30,35
33193,Aiman,Radhakrishnan,Senior Staff,1992-02-27,30
33194,Ronnie,Brender,Senior Engineer,1991-08-27,31
33196,Jungsoon,Gist,Staff,1986-07-29,36
33198,Xiaopeng,Auyong,Senior Staff,1994-07-16,28
33205,Matk,Egerstedt,Senior Engineer,1985-02-18,37
33211,Prodip,DuBourdieux,Senior Engineer,1988-12-08,34
33216,Zdislav,Thombley,Senior Staff,1987-06-30,35
33219,Shem,Brodal,Assistant Engineer,1992-11-10,30
33221,Makato,Demri,Engineer,1985-04-30,37
33222,Arra,Apsitis,Senior Engineer,1992-12-04,30
33223,Sanjiv,Dayang,Staff,1993-12-26,29
33225,Mani,Ranta,Senior Staff,1985-06-25,37
33226,Kenton,Hegner,Engineer,1987-07-30,35
33239,Gladys,Rosin,Senior Engineer,1997-05-18,25
33240,Nishit,Pramanik,Engineer,1990-02-08,32
33244,Genki,Hitomi,Senior Staff,1986-07-01,36
33248,Lucian,Cronin,Senior Engineer,1987-12-24,35
33255,Alejandra,Straney,Technique Leader,1986-11-24,36
33257,Duri,Rotem,Staff,1988-02-21,34
33259,Djelloul,Pietrzykowski,Senior Staff,1988-03-23,34
33265,Arnd,Escriba,Senior Engineer,1993-02-11,29
33267,Irena,Callaway,Senior Staff,1989-09-18,33
33270,Chanjung,Ebeling,Senior Staff,1985-05-12,37
33272,Sanjit,Rotem,Senior Engineer,1989-09-02,33
33278,Kyoichi,Boguraev,Senior Staff,1994-10-14,28
33279,Arne,Felder,Senior Staff,1988-11-01,34
33287,Honesty,Zlotek,Senior Staff,1991-06-01,31
33288,Hinrich,Fetvedt,Senior Engineer,1986-02-14,36
33296,Kensyu,Thorelli,Senior Engineer,1994-02-13,28
33298,Koldo,Oxman,Senior Staff,1990-05-29,32
33302,Fumitaka,Crouzet,Senior Engineer,1989-06-12,33
33306,Tesuro,Spell,Assistant Engineer,1986-07-30,36
33307,Raimond,Hopewell,Senior Engineer,1993-01-20,29
33309,Kien,Bodoff,Senior Engineer,1987-10-30,35
33313,Oguz,Staylopatis,Engineer,1988-06-07,34
33324,Ravishankar,Emiris,Staff,1995-09-14,27
33327,Isamu,Templeman,Engineer,1989-03-21,33
33328,Dipankar,Osgood,Senior Staff,1991-08-14,31
33331,Junichi,DeMori,Senior Staff,1989-04-20,33
33334,Nagui,Pietracaprina,Engineer,1991-11-17,31
33336,Suzette,Rodham,Senior Engineer,1990-11-23,32
33343,Chiradeep,Gunderson,Senior Staff,1985-10-07,37
33344,Isaac,Emden,Staff,1997-04-14,25
33359,Emdad,Berztiss,Staff,1999-07-05,23
33363,Volkmar,Bugaenko,Senior Engineer,1998-12-27,24
33368,Foong,Rosar,Senior Engineer,1991-05-09,31
33383,Alois,Luga,Senior Engineer,1987-01-30,35
33386,Sadok,Eiter,Senior Engineer,1987-09-19,35
33388,Mohua,Dalton,Senior Staff,1990-02-01,32
33393,Charlene,Nyrup,Senior Staff,1996-12-23,26
33394,Xinan,Brender,Senior Staff,1994-12-02,28
33399,Roded,Lorcy,Senior Staff,1988-07-26,34
33402,Leni,Carrere,Senior Engineer,1988-09-08,34
33406,Chandrasekaran,Oehlmann,Technique Leader,1992-03-13,30
33408,Shigeo,Denis,Senior Engineer,1988-02-10,34
33416,Jaber,Aumann,Senior Engineer,1994-09-07,28
33423,Jinpo,Koblick,Senior Staff,1987-07-13,35
33424,DAIDA,Mukaidono,Senior Staff,1997-07-02,25
33427,Shalesh,Mitsuhashi,Senior Engineer,1986-11-22,36
33431,Paris,Nannarelli,Staff,1995-04-24,27
